,Winner,Loser
0,Miami Heat,San Antonio Spurs
1,Miami Heat,Indiana Pacers
2,San Antonio Spurs,Memphis Grizzlies
3,Indiana Pacers,New York Knicks
4,Miami Heat,Chicago Bulls
5,Memphis Grizzlies,Oklahoma City Thunder
6,San Antonio Spurs,Golden State Warriors
7,Chicago Bulls,Brooklyn Nets
8,Indiana Pacers,Atlanta Hawks
9,Miami Heat,Milwaukee Bucks
10,New York Knicks,Boston Celtics
11,Golden State Warriors,Denver Nuggets
12,Memphis Grizzlies,Los Angeles Clippers
13,Oklahoma City Thunder,Houston Rockets
14,San Antonio Spurs,Los Angeles Lakers
