,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Tue, Nov 2, 1999",Orlando Magic,86.0,Charlotte Hornets,100.0,Box Score,,17461.0,
1,"Tue, Nov 2, 1999",Golden State Warriors,96.0,Dallas Mavericks,108.0,Box Score,,12848.0,
2,"Tue, Nov 2, 1999",Phoenix Suns,102.0,Denver Nuggets,107.0,Box Score,OT,19099.0,
3,"Tue, Nov 2, 1999",Milwaukee Bucks,98.0,Houston Rockets,93.0,Box Score,,14491.0,
4,"Tue, Nov 2, 1999",Seattle SuperSonics,104.0,Los Angeles Clippers,92.0,Box Score,,17847.0,
5,"Tue, Nov 2, 1999",Detroit Pistons,122.0,Miami Heat,128.0,Box Score,2OT,14623.0,
6,"Tue, Nov 2, 1999",Indiana Pacers,119.0,New Jersey Nets,112.0,Box Score,,13051.0,
7,"Tue, Nov 2, 1999",Cleveland Cavaliers,84.0,New York Knicks,92.0,Box Score,,19763.0,
8,"Tue, Nov 2, 1999",Philadelphia 76ers,76.0,San Antonio Spurs,89.0,Box Score,,27288.0,
9,"Tue, Nov 2, 1999",Boston Celtics,103.0,Toronto Raptors,90.0,Box Score,,17711.0,
10,"Tue, Nov 2, 1999",Los Angeles Lakers,91.0,Utah Jazz,84.0,Box Score,,19911.0,
11,"Tue, Nov 2, 1999",Portland Trail Blazers,106.0,Vancouver Grizzlies,86.0,Box Score,,18218.0,
12,"Tue, Nov 2, 1999",Atlanta Hawks,87.0,Washington Wizards,94.0,Box Score,,16038.0,
13,"Wed, Nov 3, 1999",Washington Wizards,101.0,Boston Celtics,112.0,Box Score,,16082.0,
14,"Wed, Nov 3, 1999",New York Knicks,84.0,Chicago Bulls,74.0,Box Score,,22176.0,
15,"Wed, Nov 3, 1999",New Jersey Nets,90.0,Cleveland Cavaliers,97.0,Box Score,,16777.0,
16,"Wed, Nov 3, 1999",Vancouver Grizzlies,88.0,Los Angeles Lakers,103.0,Box Score,,18997.0,
17,"Wed, Nov 3, 1999",Detroit Pistons,94.0,Orlando Magic,103.0,Box Score,,14253.0,
18,"Wed, Nov 3, 1999",Los Angeles Clippers,98.0,Portland Trail Blazers,121.0,Box Score,,20584.0,
19,"Thu, Nov 4, 1999",Milwaukee Bucks,119.0,Atlanta Hawks,109.0,Box Score,,18514.0,
20,"Thu, Nov 4, 1999",Indiana Pacers,89.0,Charlotte Hornets,98.0,Box Score,,15762.0,
21,"Thu, Nov 4, 1999",Philadelphia 76ers,80.0,Phoenix Suns,84.0,Box Score,,19023.0,
22,"Thu, Nov 4, 1999",Golden State Warriors,81.0,San Antonio Spurs,104.0,Box Score,,14508.0,
23,"Thu, Nov 4, 1999",Dallas Mavericks,96.0,Seattle SuperSonics,106.0,Box Score,,16140.0,
24,"Thu, Nov 4, 1999",Miami Heat,86.0,Toronto Raptors,97.0,Box Score,,16389.0,
25,"Thu, Nov 4, 1999",Houston Rockets,82.0,Utah Jazz,98.0,Box Score,,19142.0,
26,"Fri, Nov 5, 1999",Charlotte Hornets,100.0,Boston Celtics,103.0,Box Score,,16582.0,
27,"Fri, Nov 5, 1999",Miami Heat,105.0,Chicago Bulls,87.0,Box Score,,21972.0,
28,"Fri, Nov 5, 1999",New York Knicks,103.0,Detroit Pistons,91.0,Box Score,,22076.0,
29,"Fri, Nov 5, 1999",San Antonio Spurs,95.0,Houston Rockets,85.0,Box Score,,16285.0,
30,"Fri, Nov 5, 1999",Philadelphia 76ers,81.0,Los Angeles Clippers,91.0,Box Score,,14271.0,
31,"Fri, Nov 5, 1999",Toronto Raptors,112.0,New Jersey Nets,92.0,Box Score,,15517.0,
32,"Fri, Nov 5, 1999",Cleveland Cavaliers,104.0,Orlando Magic,99.0,Box Score,,13142.0,
33,"Fri, Nov 5, 1999",Denver Nuggets,83.0,Portland Trail Blazers,95.0,Box Score,,19995.0,
34,"Fri, Nov 5, 1999",Minnesota Timberwolves,95.0,Sacramento Kings,100.0,Box Score,,32623.0,"at Tokyo, Japan"
35,"Sat, Nov 6, 1999",Chicago Bulls,97.0,Atlanta Hawks,113.0,Box Score,,13342.0,
36,"Sat, Nov 6, 1999",New York Knicks,93.0,Cleveland Cavaliers,102.0,Box Score,,17604.0,
37,"Sat, Nov 6, 1999",Dallas Mavericks,120.0,Golden State Warriors,97.0,Box Score,,12708.0,
38,"Sat, Nov 6, 1999",Boston Celtics,108.0,Indiana Pacers,115.0,Box Score,,18345.0,
39,"Sat, Nov 6, 1999",Detroit Pistons,111.0,Milwaukee Bucks,121.0,Box Score,,18374.0,
40,"Sat, Nov 6, 1999",Sacramento Kings,101.0,Minnesota Timberwolves,114.0,Box Score,,34013.0,"at Tokyo, Japan"
41,"Sat, Nov 6, 1999",Los Angeles Lakers,82.0,Portland Trail Blazers,97.0,Box Score,,20584.0,
42,"Sat, Nov 6, 1999",Utah Jazz,94.0,Seattle SuperSonics,99.0,Box Score,,17072.0,
43,"Sat, Nov 6, 1999",Denver Nuggets,94.0,Vancouver Grizzlies,109.0,Box Score,,12159.0,
44,"Sat, Nov 6, 1999",Orlando Magic,107.0,Washington Wizards,104.0,Box Score,,14954.0,
45,"Sun, Nov 7, 1999",Dallas Mavericks,97.0,Los Angeles Lakers,105.0,Box Score,,18068.0,
46,"Sun, Nov 7, 1999",Washington Wizards,87.0,New Jersey Nets,112.0,Box Score,,14686.0,
47,"Sun, Nov 7, 1999",San Antonio Spurs,74.0,Phoenix Suns,77.0,Box Score,,19023.0,
48,"Sun, Nov 7, 1999",Charlotte Hornets,99.0,Toronto Raptors,109.0,Box Score,,16658.0,
49,"Mon, Nov 8, 1999",Atlanta Hawks,100.0,Denver Nuggets,115.0,Box Score,,9108.0,
50,"Mon, Nov 8, 1999",Orlando Magic,102.0,Houston Rockets,97.0,Box Score,,13970.0,
51,"Mon, Nov 8, 1999",Utah Jazz,94.0,Los Angeles Clippers,79.0,Box Score,,9686.0,
52,"Mon, Nov 8, 1999",Milwaukee Bucks,101.0,New York Knicks,111.0,Box Score,OT,19763.0,
53,"Mon, Nov 8, 1999",Seattle SuperSonics,98.0,Philadelphia 76ers,117.0,Box Score,,19402.0,
54,"Tue, Nov 9, 1999",Phoenix Suns,103.0,Chicago Bulls,80.0,Box Score,,22026.0,
55,"Tue, Nov 9, 1999",Los Angeles Lakers,123.0,Dallas Mavericks,101.0,Box Score,,17349.0,
56,"Tue, Nov 9, 1999",San Antonio Spurs,118.0,Golden State Warriors,89.0,Box Score,,11601.0,
57,"Tue, Nov 9, 1999",Indiana Pacers,101.0,Miami Heat,113.0,Box Score,,15200.0,
58,"Tue, Nov 9, 1999",Portland Trail Blazers,87.0,Utah Jazz,92.0,Box Score,,19538.0,
59,"Wed, Nov 10, 1999",Detroit Pistons,110.0,Boston Celtics,92.0,Box Score,,15638.0,
60,"Wed, Nov 10, 1999",Milwaukee Bucks,111.0,Charlotte Hornets,117.0,Box Score,,15769.0,
61,"Wed, Nov 10, 1999",Los Angeles Lakers,89.0,Houston Rockets,88.0,Box Score,,16285.0,
62,"Wed, Nov 10, 1999",San Antonio Spurs,99.0,Los Angeles Clippers,94.0,Box Score,,11118.0,
63,"Wed, Nov 10, 1999",Phoenix Suns,104.0,New Jersey Nets,89.0,Box Score,,11652.0,
64,"Wed, Nov 10, 1999",Philadelphia 76ers,105.0,Orlando Magic,110.0,Box Score,,14056.0,
65,"Wed, Nov 10, 1999",Atlanta Hawks,97.0,Vancouver Grizzlies,102.0,Box Score,OT,11453.0,
66,"Wed, Nov 10, 1999",Seattle SuperSonics,109.0,Washington Wizards,95.0,Box Score,,13213.0,
67,"Thu, Nov 11, 1999",Seattle SuperSonics,109.0,Cleveland Cavaliers,103.0,Box Score,,11864.0,
68,"Thu, Nov 11, 1999",Toronto Raptors,123.0,Detroit Pistons,106.0,Box Score,,13157.0,
69,"Thu, Nov 11, 1999",Orlando Magic,101.0,Indiana Pacers,116.0,Box Score,,18345.0,
70,"Thu, Nov 11, 1999",Dallas Mavericks,105.0,Miami Heat,128.0,Box Score,,14683.0,
71,"Thu, Nov 11, 1999",New York Knicks,90.0,Minnesota Timberwolves,93.0,Box Score,,18397.0,
72,"Fri, Nov 12, 1999",New York Knicks,74.0,Boston Celtics,80.0,Box Score,,18624.0,
73,"Fri, Nov 12, 1999",New Jersey Nets,92.0,Charlotte Hornets,96.0,Box Score,,16668.0,
74,"Fri, Nov 12, 1999",Portland Trail Blazers,93.0,Denver Nuggets,78.0,Box Score,,17512.0,
75,"Fri, Nov 12, 1999",Houston Rockets,97.0,Los Angeles Lakers,81.0,Box Score,,18359.0,
76,"Fri, Nov 12, 1999",Phoenix Suns,92.0,Milwaukee Bucks,107.0,Box Score,,16137.0,
77,"Fri, Nov 12, 1999",Chicago Bulls,86.0,Philadelphia 76ers,92.0,Box Score,,18120.0,
78,"Fri, Nov 12, 1999",Utah Jazz,92.0,Sacramento Kings,105.0,Box Score,,17317.0,
79,"Fri, Nov 12, 1999",Golden State Warriors,103.0,Vancouver Grizzlies,93.0,Box Score,,12792.0,
80,"Fri, Nov 12, 1999",Miami Heat,104.0,Washington Wizards,95.0,Box Score,,13941.0,
81,"Sat, Nov 13, 1999",Boston Celtics,91.0,Chicago Bulls,92.0,Box Score,,22108.0,
82,"Sat, Nov 13, 1999",Milwaukee Bucks,112.0,Cleveland Cavaliers,117.0,Box Score,,18640.0,
83,"Sat, Nov 13, 1999",Orlando Magic,117.0,Dallas Mavericks,125.0,Box Score,,12558.0,
84,"Sat, Nov 13, 1999",Seattle SuperSonics,99.0,Detroit Pistons,107.0,Box Score,,14266.0,
85,"Sat, Nov 13, 1999",Houston Rockets,103.0,Golden State Warriors,95.0,Box Score,,11684.0,
86,"Sat, Nov 13, 1999",Washington Wizards,83.0,Indiana Pacers,105.0,Box Score,,18345.0,
87,"Sat, Nov 13, 1999",Phoenix Suns,100.0,Minnesota Timberwolves,111.0,Box Score,,20003.0,
88,"Sat, Nov 13, 1999",Atlanta Hawks,95.0,Portland Trail Blazers,131.0,Box Score,,20404.0,
89,"Sat, Nov 13, 1999",Charlotte Hornets,79.0,San Antonio Spurs,95.0,Box Score,,19669.0,
90,"Sun, Nov 14, 1999",Atlanta Hawks,88.0,Los Angeles Lakers,93.0,Box Score,,18510.0,
91,"Sun, Nov 14, 1999",Miami Heat,94.0,New York Knicks,88.0,Box Score,,19763.0,
92,"Sun, Nov 14, 1999",Denver Nuggets,116.0,Sacramento Kings,126.0,Box Score,,15491.0,
93,"Sun, Nov 14, 1999",Philadelphia 76ers,93.0,Toronto Raptors,90.0,Box Score,,16661.0,
94,"Sun, Nov 14, 1999",Los Angeles Clippers,89.0,Vancouver Grizzlies,109.0,Box Score,,12774.0,
95,"Mon, Nov 15, 1999",Indiana Pacers,96.0,Houston Rockets,87.0,Box Score,,14866.0,
96,"Mon, Nov 15, 1999",Seattle SuperSonics,100.0,New Jersey Nets,92.0,Box Score,,12474.0,
97,"Mon, Nov 15, 1999",Los Angeles Lakers,91.0,Phoenix Suns,82.0,Box Score,,19023.0,
98,"Mon, Nov 15, 1999",San Antonio Spurs,85.0,Utah Jazz,91.0,Box Score,,19584.0,
99,"Tue, Nov 16, 1999",Charlotte Hornets,98.0,Atlanta Hawks,103.0,Box Score,,11426.0,
100,"Tue, Nov 16, 1999",Houston Rockets,95.0,Dallas Mavericks,114.0,Box Score,,14371.0,
