,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
0,"Tue, Oct 31, 2006",7:30 pm,Phoenix Suns,106.0,Los Angeles Lakers,114.0,Box Score,,18997.0,
1,"Tue, Oct 31, 2006",8:00 pm,Chicago Bulls,108.0,Miami Heat,66.0,Box Score,,20229.0,
0,"Wed, Nov 1, 2006",7:30 pm,New Orleans/Oklahoma City Hornets,91.0,Boston Celtics,87.0,Box Score,,18624.0,
1,"Wed, Nov 1, 2006",7:00 pm,Indiana Pacers,106.0,Charlotte Bobcats,99.0,Box Score,,18518.0,
2,"Wed, Nov 1, 2006",8:00 pm,Washington Wizards,94.0,Cleveland Cavaliers,97.0,Box Score,,20562.0,
3,"Wed, Nov 1, 2006",8:00 pm,Milwaukee Bucks,105.0,Detroit Pistons,97.0,Box Score,,22076.0,
4,"Wed, Nov 1, 2006",7:30 pm,Los Angeles Lakers,110.0,Golden State Warriors,98.0,Box Score,,19596.0,
5,"Wed, Nov 1, 2006",7:00 pm,New York Knicks,118.0,Memphis Grizzlies,117.0,Box Score,3OT,17113.0,
6,"Wed, Nov 1, 2006",7:00 pm,Sacramento Kings,83.0,Minnesota Timberwolves,92.0,Box Score,,19356.0,
7,"Wed, Nov 1, 2006",7:30 pm,Toronto Raptors,92.0,New Jersey Nets,102.0,Box Score,,18646.0,
8,"Wed, Nov 1, 2006",7:00 pm,Chicago Bulls,94.0,Orlando Magic,109.0,Box Score,,17451.0,
9,"Wed, Nov 1, 2006",7:00 pm,Atlanta Hawks,75.0,Philadelphia 76ers,88.0,Box Score,,17119.0,
10,"Wed, Nov 1, 2006",8:30 pm,Los Angeles Clippers,104.0,Phoenix Suns,112.0,Box Score,,18422.0,
11,"Wed, Nov 1, 2006",7:00 pm,Portland Trail Blazers,110.0,Seattle SuperSonics,106.0,Box Score,,17072.0,
12,"Wed, Nov 1, 2006",7:00 pm,Houston Rockets,97.0,Utah Jazz,107.0,Box Score,,18133.0,
13,"Thu, Nov 2, 2006",7:00 pm,San Antonio Spurs,97.0,Dallas Mavericks,91.0,Box Score,,20416.0,
14,"Thu, Nov 2, 2006",7:30 pm,Denver Nuggets,95.0,Los Angeles Clippers,96.0,Box Score,,18050.0,
15,"Fri, Nov 3, 2006",7:30 pm,New York Knicks,92.0,Atlanta Hawks,102.0,Box Score,,19604.0,
16,"Fri, Nov 3, 2006",7:30 pm,Detroit Pistons,101.0,Boston Celtics,88.0,Box Score,,18624.0,
17,"Fri, Nov 3, 2006",7:30 pm,Sacramento Kings,89.0,Chicago Bulls,88.0,Box Score,,22454.0,
18,"Fri, Nov 3, 2006",7:00 pm,Minnesota Timberwolves,112.0,Denver Nuggets,109.0,Box Score,,19234.0,
19,"Fri, Nov 3, 2006",7:30 pm,Portland Trail Blazers,89.0,Golden State Warriors,102.0,Box Score,,17204.0,
